	airport_id	airport_name	year	month	origin_domestic	origin_international	origin_total	destination_domestic	destination_international	destination_total	destination_total	report_dt
202	KDEN	DENVER INTL AIRPORT	2018	4	21,759	987	22,746	21,739	987	22,726	22,726	2023-09-14
203	KDEN	DENVER INTL AIRPORT	2018	5	22,816	991	23,807	22,829	991	23,820	23,820	2023-09-14
204	KDEN	DENVER INTL AIRPORT	2018	6	24,085	1,129	25,214	24,073	1,128	25,201	25,201	2023-09-14
205	KDEN	DENVER INTL AIRPORT	2018	7	24,848	1,125	25,973	24,828	1,125	25,953	25,953	2023-09-14
206	KDEN	DENVER INTL AIRPORT	2018	8	24,878	1,073	25,951	24,862	1,069	25,931	25,931	2023-09-14
207	KDEN	DENVER INTL AIRPORT	2018	9	22,858	936	23,794	22,847	932	23,779	23,779	2023-09-14
208	KDEN	DENVER INTL AIRPORT	2018	10	23,912	871	24,783	23,890	875	24,765	24,765	2023-09-14
209	KDEN	DENVER INTL AIRPORT	2018	11	22,035	899	22,934	22,004	896	22,900	22,900	2023-09-14
210	KDEN	DENVER INTL AIRPORT	2018	12	22,320	1,010	23,330	22,336	1,015	23,351	23,351	2023-09-14
211	KDEN	DENVER INTL AIRPORT	2018	TOTAL	271,385	11,985	283,370	271,227	11,964	283,191	283,191	2023-09-14
212	KDEN	DENVER INTL AIRPORT	2019	1	21,874	1,036	22,910	21,817	1,030	22,847	22,847	2023-09-14
213	KDEN	DENVER INTL AIRPORT	2019	2	19,752	884	20,636	19,720	886	20,606	20,606	2023-09-14
214	KDEN	DENVER INTL AIRPORT	2019	3	22,594	1,036	23,630	22,560	1,031	23,591	23,591	2023-09-14
215	KDEN	DENVER INTL AIRPORT	2019	4	22,472	1,042	23,514	22,449	1,042	23,491	23,491	2023-09-14
216	KDEN	DENVER INTL AIRPORT	2019	5	24,453	1,054	25,507	24,461	1,042	25,503	25,503	2023-09-14
217	KDEN	DENVER INTL AIRPORT	2019	6	25,441	1,114	26,555	25,438	1,095	26,533	26,533	2023-09-14
218	KDEN	DENVER INTL AIRPORT	2019	7	27,019	1,161	28,180	27,005	1,157	28,162	28,162	2023-09-14
219	KDEN	DENVER INTL AIRPORT	2019	8	26,725	1,088	27,813	26,708	1,084	27,792	27,792	2023-09-14
220	KDEN	DENVER INTL AIRPORT	2019	9	25,280	859	26,139	25,265	857	26,122	26,122	2023-09-14
221	KDEN	DENVER INTL AIRPORT	2019	10	25,645	910	26,555	25,624	912	26,536	26,536	2023-09-14
222	KDEN	DENVER INTL AIRPORT	2019	11	23,043	915	23,958	23,057	913	23,970	23,970	2023-09-14
